Clinical Area,Subject,first page,last page
Advanced Procedures,Emergency - Surgical Cricothyrotomy,5,7
Advanced Procedures,Facilitated Intubation and Rapid Sequence Induction (RSI),8,9
Advanced Procedures,Post - Intubation Management Protocol (all intubated patients),10,10
Advanced Procedures,Push-Dose Pressor Protocol,11,12
Advanced Procedures,Orogastric Tube Insertion Protocol - Post-intubation,13,14
Advanced Procedures,Pain Management / Analgesic Protocol,15,16
Advanced Procedures,Intraosseous (IO) Infusion Protocol,17,18
Advanced Procedures,Transport Ventilator Protocol (Adults only),19,19
Advanced Procedures,BiPAP Protocol (Adults only),20,22
Advanced Procedures,Chest Finger Thoracostomy,23,23
Advanced Procedures,Lateral Patellar Reduction,24,25
Advanced Cardiac Life Support,Adult Cardiac Guidelines,26,27
Advanced Cardiac Life Support,12-Lead ECG,28,30
Advanced Cardiac Life Support,Chest Pain (non-traumatic) -- General,31,32
Advanced Cardiac Life Support,Chest Pain / Acute Coronary Syndrome / STEMI,33,34
Advanced Cardiac Life Support,Reference -- 12-Lead MI / 12 and 15 Lead placement,35,35
Advanced Cardiac Life Support,V-Fib / Pulseless V-Tach,36,37
Advanced Cardiac Life Support,Automated External Defibrillator (AED) Protocol,38,38
Advanced Cardiac Life Support,Mechanical CPR Device / LUCAS 3,39,40
Advanced Cardiac Life Support,Asystole / Pulseless Electrical Activity (PEA),41,42
Advanced Cardiac Life Support,Post-Resuscitation (ROSC) Protocol,43,44
Advanced Cardiac Life Support,V-Tach with a Pulse / Wide Complex Tachycardia,45,46
Advanced Cardiac Life Support,Premature Ventricular Complexes (PVCs),47,47
Advanced Cardiac Life Support,Supraventricular Tachycardia (SVT/PSVT),48,49
Advanced Cardiac Life Support,Atrial Fibrillation / Atrial Flutter,50,51
Advanced Cardiac Life Support,Bradycardia (Including AV Blocks),52,53
Medical Emergencies,Abdominal Pain,54,54
Medical Emergencies,Nausea / Vomiting,55,55
Medical Emergencies,Dehydration,56,56
Medical Emergencies,Diabetic Emergencies - Hypoglycemia,57,58
Medical Emergencies,Diabetic Emergencies - Hyperglycemia,59,59
Medical Emergencies,Hypertensive Crisis,60,60
Medical Emergencies,Shock (Including Sepsis),61,61
Medical Emergencies,Sexual Assault,62,62
Medical Emergencies,Sickle Cell Crisis,63,63
Medical Emergencies,Psychiatric / Behavioral Emergencies (with Restraint Protocol),64,64
Respiratory,Respiratory Distress / Dyspnea / Shortness of Breath Protocol,65,66
Respiratory,Continuous Positive Airway Pressure (CPAP),67,67
Neurological,Altered Mental Status / Coma,68,68
Neurological,CVA / Stroke,69,69
Neurological,REFERENCE - Cincinnati Pre-hospital Stroke Scale,70,70
Neurological,REFERENCE - MEND Pre-hospital Stroke Scale,71,71
Neurological,REFERENCE - LAMS Pre-hospital Stroke Scale,71,71
Neurological,REFERENCE - Pre-hospital Stroke Screen for tPA,73,73
Neurological,tPA Transfer Protocol ,74,74
Neurological,Seizures / Convulsions,75,75
Neurological,Syncope,76,76
Toxicological & Environmental,Anaphylaxis / Allergic Reaction,77,77
Toxicological & Environmental,"Overdose -- General / Medications (Opiods, etc.)",78,79
Toxicological & Environmental,Poisoning / Chemical Exposure / Haz-Mat / Nerve Agents,80,80
Toxicological & Environmental,Alcohol Emergencies,81,81
Toxicological & Environmental,Snakebite (poisonous) / other envenomation,82,82
Toxicological & Environmental,Near Drowning,83,83
Toxicological & Environmental,Hyperthermia / Heat Related Illness,84,84
Toxicological & Environmental,Hypothermia,85,85
Toxicological & Environmental,Electrical Shock / Lightning Injuries,86,86
Trauma,Avulsed Teeth,89,89
Trauma,Burns,90,90
Trauma,"Chest Trauma, Tension Pneumothorax, Thoracentesis",91,91
Trauma,Eye Injuries,92,92
Trauma,Fractures / Musculoskeletal Trauma,93,93
Trauma,Head Injuries,94,94
Trauma,Permissive Hypotension / Trauma Fluid Restriction,95,96
Trauma,REFERENCE -- Field Trauma Triage Decision Schematic,97,97
Trauma,Soft Tissue Trauma / Crush Injuries,98,98
Trauma,Spinal Immobilization / Spinal Motion Restriction,99,99
Trauma,Spinal Injury / Neurogenic Shock,100,100
Trauma,Traumatic Cardiac Arrest,101,101
Trauma,Uncontrolled Extremity Bleed / Tourniquet Usage,102,102
Trauma,Tranexamic Acid (TXA) for Critical Trauma Patients,103,103
Trauma,START Triage -- General Trauma MCI,104,104
OB/GYN Obstetrical Emergencies,OB/GYN Complaints (Non-Delivery) Abruptio Placentae / Placenta Previa,105,106
OB/GYN Obstetrical Emergencies,OB -- Active / Imminent (Normal ) Delivery,107,108
OB/GYN Obstetrical Emergencies,OB Emergencies -- Abnormal / Complicated Delivery,109,111
OB/GYN Obstetrical Emergencies,REFERENCE -- APGAR Scoring,112,112
OB/GYN Obstetrical Emergencies,Neonatal Resuscitation Protocol,113,113
OB/GYN Obstetrical Emergencies,Pre-Eclampsia / Eclampsia,114,114
OB/GYN Obstetrical Emergencies,Maternal Resuscitation / Cardiac Arrest in Pregnancy Protocol,115,115
Miscellaneous,Field Determination of Death Protocol,116,116
Miscellaneous,Supraglottic Airway (iGel),117,118
Miscellaneous,Administration of Blood Products,119,119
Miscellaneous,Indwelling Catheter / PICC and Midline Catheter Access,120,120
Miscellaneous,Capnography (waveform) Quick Reference Guide,121,121
Miscellaneous,Special Event / First-Aid Protocol (specalty supplies),122,122
Miscellaneous,List of Approved Abbreviations and Definition of Terms,123,129
References,Research and Development -- List is Citations and References,130,130